date,open,high,low,close,volume,Name
1/2/2020,205.3999939,205.3999939,205.3999939,205.3999939,0,BTCT
1/3/2020,205,205,205,205,260,BTCT
1/6/2020,205,205,205,205,2605,BTCT
1/7/2020,205,205,205,205,0,BTCT
1/8/2020,205.3999939,206.1999969,205.3999939,205.8000031,63210,BTCT
1/9/2020,205.6000061,205.8000031,205.6000061,205.6000061,9535,BTCT
1/10/2020,206,206,206,206,20,BTCT
1/13/2020,206,206,205.8000031,205.8000031,6300,BTCT
1/14/2020,205.8000031,205.8000031,205,205,140,BTCT
1/15/2020,205,205,205,205,0,BTCT
1/16/2020,205,205,205,205,0,BTCT
1/17/2020,205,205,205,205,0,BTCT
1/21/2020,205,205,205,205,0,BTCT
1/22/2020,205,205,205,205,0,BTCT
1/23/2020,205,205,205,205,0,BTCT
1/24/2020,205,205,205,205,0,BTCT
1/27/2020,205,205,205,205,0,BTCT
1/28/2020,205,205,205,205,0,BTCT
1/29/2020,205,205,205,205,0,BTCT
1/30/2020,205.8000031,205.8000031,205.8000031,205.8000031,80,BTCT
1/31/2020,206.1999969,206.3999939,206.1999969,206.3999939,430,BTCT
2/3/2020,206.3999939,206.3999939,206.3999939,206.3999939,0,BTCT
2/4/2020,206,206,206,206,2245,BTCT
2/5/2020,206,206,206,206,0,BTCT
2/6/2020,206,206,206,206,505,BTCT
2/7/2020,206.1999969,206.3999939,206.1999969,206.1999969,545,BTCT
2/10/2020,206,206.1999969,206,206,7335,BTCT
2/11/2020,206,206,206,206,0,BTCT
2/12/2020,206,206,206,206,0,BTCT
2/13/2020,205.3999939,206.1999969,205.3999939,206,1255,BTCT
2/14/2020,206.1999969,206.1999969,206.1999969,206.1999969,5,BTCT
2/18/2020,210,210,206.1999969,206.1999969,13825,BTCT
2/19/2020,206.1999969,206.6000061,206.1999969,206.6000061,14250,BTCT
2/20/2020,207,207,206.1999969,206.1999969,275,BTCT
2/21/2020,206.1999969,206.1999969,206.1999969,206.1999969,0,BTCT
2/24/2020,206.3999939,208,206,206.8000031,6965,BTCT
