date,open,high,low,close,volume,Name
1/2/2020,206.75,209.7899933,206.2700043,209.7799988,12077100,META
1/3/2020,207.2100067,210.3999939,206.9499969,208.6699982,11188400,META
1/6/2020,206.6999969,212.7799988,206.5200043,212.6000061,17058900,META
1/7/2020,212.8200073,214.5800018,211.75,213.0599976,14912400,META
1/8/2020,213,216.2400055,212.6100006,215.2200012,13475000,META
1/9/2020,217.5399933,218.3800049,216.2799988,218.3000031,12642800,META
1/10/2020,219.1999969,219.8800049,217.4199982,218.0599976,12119400,META
1/13/2020,219.6000061,221.9700012,219.2100067,221.9100037,14463400,META
1/14/2020,221.6100006,222.3800049,218.6300049,219.0599976,13288900,META
1/15/2020,220.6100006,221.6799927,220.1399994,221.1499939,10036500,META
1/16/2020,222.5700073,222.6300049,220.3899994,221.7700043,10015300,META
1/17/2020,222.0299988,222.2899933,220.5299988,222.1399994,15905900,META
1/21/2020,222.1600037,222.3699951,219.1199951,221.4400024,14275800,META
1/22/2020,222.3099976,222.75,221.2799988,221.3200073,12212800,META
1/23/2020,220.75,221.4900055,219.2700043,219.7599945,11195000,META
1/24/2020,220.8000031,221.7799988,216.1100006,217.9400024,11905800,META
1/27/2020,213.1000061,216.0599976,212.5,214.8699951,13810700,META
1/28/2020,216.1399994,218.7400055,213.5200043,217.7899933,13413800,META
1/29/2020,221.4400024,224.1999969,218.4499969,223.2299957,33181300,META
1/30/2020,206.5299988,211.4299927,204.75,209.5299988,48775500,META
1/31/2020,208.4299927,208.6900024,201.0599976,201.9100037,31359900,META
2/3/2020,203.4400024,205.1399994,202.5,204.1900024,15495600,META
2/4/2020,206.6199951,210.6000061,205.1999969,209.8300018,19628900,META
2/5/2020,212.5099945,212.7299957,208.7100067,210.1100006,12538200,META
2/6/2020,210.4700012,211.1900024,209.3399963,210.8500061,10567500,META
2/7/2020,210.3000031,212.8200073,209.9299927,212.3300018,12242500,META
2/10/2020,211.5200043,213.8000031,210.6600037,213.0599976,11856400,META
2/11/2020,210.1900024,210.8600006,206.5099945,207.1900024,25030800,META
2/12/2020,207.8500061,211.2200012,207.3999939,210.7599945,13813700,META
2/13/2020,209.5200043,214.3300018,209.1799927,213.1399994,15396600,META
2/14/2020,214,214.9299927,212.6499939,214.1799927,10741700,META
2/18/2020,213.5500031,217.9799957,213.3999939,217.8000031,15609200,META
2/19/2020,217.9900055,218.3200073,216.1100006,217.4900055,12135100,META
2/20/2020,216.5200043,218.7700043,212.9499969,214.5800018,13109200,META
2/21/2020,213.4799957,214.2400055,208.8300018,210.1799927,14092300,META
2/24/2020,201.8000031,203.6499939,198.1699982,200.7200012,23080100,META
2/25/2020,202.25,203.5,195.9499969,196.7700043,21433500,META
2/26/2020,197.1900024,201.2100067,195.4900055,197.1999969,16524500,META
2/27/2020,191.8200073,195.8800049,189.5,189.75,21682600,META
2/28/2020,182.6999969,192.7400055,181.8200073,192.4700012,32568900,META
3/2/2020,194.0299988,196.5700073,188.8500061,196.4400024,24949000,META
3/3/2020,196.2200012,197.2400055,183.9700012,185.8899994,27984100,META
3/4/2020,189.1699982,191.8300018,186.3899994,191.7599945,23062500,META
3/5/2020,186.7799988,188.9900055,183.8899994,185.1699982,19333400,META
3/6/2020,178.3300018,183.7799988,176.2599945,181.0899963,24559600,META
3/9/2020,169.6000061,175,165.1900024,169.5,29949000,META
3/10/2020,174.6699982,178.2899933,169.5,178.1900024,24517800,META
3/11/2020,174.0099945,175.8800049,167.6600037,170.2400055,20373900,META
3/12/2020,159.5399933,166.6000061,154.3399963,154.4700012,43266300,META
3/13/2020,163.5299988,170.7899933,157.6000061,170.2799988,35028600,META
3/16/2020,152.3200073,159.1300049,143.1000061,146.0099945,39120400,META
3/17/2020,150.7400055,153.9400024,140,149.4199982,34255600,META
3/18/2020,139.75,148.1799927,137.1000061,146.9600067,37553100,META
3/19/2020,146.6199951,159.9299927,144.8000031,153.1300049,39862300,META
3/20/2020,156.0200043,159.2700043,148,149.7299957,32568400,META
3/23/2020,149.6600037,152.3099976,142.25,148.1000061,29830800,META
3/24/2020,155.2100067,161.3099976,152.5700073,160.9799957,30440400,META
3/25/2020,158.9199982,162.9900055,153.0599976,156.2100067,35184300,META
3/26/2020,158.25,164,157.0200043,163.3399963,26556800,META
3/27/2020,158.1999969,160.0899963,154.75,156.7899933,24879900,META
3/30/2020,159.1799927,166.75,158.0599976,165.9499969,22515200,META
