date,open,high,low,close,volume,Name
1/2/2020,5.96875,5.997749805,5.918000221,5.997749805,237536000,NVDA
1/3/2020,5.877500057,5.945750237,5.852499962,5.901750088,205384000,NVDA
1/6/2020,5.808000088,5.931749821,5.781750202,5.926499844,262636000,NVDA
1/7/2020,5.954999924,6.044250011,5.909749985,5.998250008,314856000,NVDA
1/8/2020,5.993999958,6.051000118,5.953750134,6.009500027,277108000,NVDA
1/9/2020,6.096250057,6.148250103,6.021500111,6.075500011,255112000,NVDA
1/10/2020,6.18324995,6.213749886,6.09375,6.107999802,316296000,NVDA
1/13/2020,6.191500187,6.324749947,6.168749809,6.299499989,319840000,NVDA
1/14/2020,6.256499767,6.282000065,6.168749809,6.18200016,359088000,NVDA
1/15/2020,6.194749832,6.21724987,6.113249779,6.139249802,263104000,NVDA
1/16/2020,6.19299984,6.229249954,6.169499874,6.223249912,284192000,NVDA
1/17/2020,6.242499828,6.25,6.184249878,6.231999874,253792000,NVDA
1/21/2020,6.195250034,6.232250214,6.164249897,6.198500156,217916000,NVDA
1/22/2020,6.243999958,6.339749813,6.224999905,6.25274992,239240000,NVDA
1/23/2020,6.293000221,6.329999924,6.203750134,6.321499825,244516000,NVDA
1/24/2020,6.4375,6.487500191,6.207499981,6.262000084,373512000,NVDA
1/27/2020,5.955999851,6.056250095,5.805749893,6.005000114,470536000,NVDA
1/28/2020,6.071249962,6.231750011,6.017749786,6.199250221,310976000,NVDA
1/29/2020,6.18475008,6.221000195,6.098499775,6.138500214,258848000,NVDA
1/30/2020,6.040249825,6.158750057,5.985000134,6.145249844,290504000,NVDA
1/31/2020,6.09924984,6.111249924,5.868750095,5.910749912,370420000,NVDA
2/3/2020,5.892499924,6.027750015,5.886250019,6.008250237,255564000,NVDA
2/4/2020,6.15075016,6.197500229,6.100500107,6.178249836,271544000,NVDA
2/5/2020,6.299749851,6.309999943,6.185249805,6.269000053,208220000,NVDA
2/6/2020,6.303500175,6.356249809,6.222000122,6.356249809,218284000,NVDA
2/7/2020,6.315999985,6.33825016,6.264249802,6.289750099,189752000,NVDA
2/10/2020,6.3125,6.574999809,6.307499886,6.574250221,529608000,NVDA
2/11/2020,6.683000088,6.8125,6.62074995,6.697249889,638556000,NVDA
2/12/2020,6.750249863,6.820000172,6.711249828,6.813499928,374644000,NVDA
2/13/2020,6.755249977,6.836999893,6.727749825,6.769499779,528016000,NVDA
2/14/2020,7.181499958,7.374249935,7.150000095,7.244750023,1041924000,NVDA
2/18/2020,7.140999794,7.432750225,7.121500015,7.414249897,620164000,NVDA
2/19/2020,7.537250042,7.885250092,7.537250042,7.867499828,694332000,NVDA
2/20/2020,7.819250107,7.907999992,7.408750057,7.71750021,810052000,NVDA
2/21/2020,7.604750156,7.630000114,7.266499996,7.351749897,768180000,NVDA
2/24/2020,6.754749775,7.046750069,6.699999809,6.831999779,856916000,NVDA
2/25/2020,6.90749979,6.969749928,6.448999882,6.551249981,1055496000,NVDA
2/26/2020,6.551499844,6.886250019,6.550000191,6.691249847,747732000,NVDA
2/27/2020,6.372499943,6.675000191,6.222249985,6.315000057,906416000,NVDA
2/28/2020,6.061500072,6.811500072,6.044750214,6.751749992,1133252000,NVDA
3/2/2020,6.922500134,6.939750195,6.525000095,6.910749912,890744000,NVDA
3/3/2020,6.966750145,7.026750088,6.561500072,6.647250175,652792000,NVDA
3/4/2020,6.755000114,7.12225008,6.679999828,7.112750053,597408000,NVDA
3/5/2020,6.912499905,7.079999924,6.787499905,6.832250118,540328000,NVDA
3/6/2020,6.65199995,6.709750175,6.449999809,6.651000023,515412000,NVDA
3/9/2020,5.997499943,6.485000134,5.954500198,6.136000156,614160000,NVDA
3/10/2020,6.413499832,6.52699995,6.149750233,6.52699995,580648000,NVDA
3/11/2020,6.386499882,6.414999962,6.064249992,6.16174984,499964000,NVDA
3/12/2020,5.636499882,5.902999878,5.394999981,5.40775013,816540000,NVDA
3/13/2020,5.762499809,6.025499821,5.490250111,6.020999908,634836000,NVDA
3/16/2020,5.310249805,5.652500153,4.849999905,4.909999847,726972000,NVDA
3/17/2020,5.022749901,5.521500111,4.775000095,5.431749821,833632000,NVDA
3/18/2020,5.002500057,5.24849987,4.517000198,5.070499897,874268000,NVDA
3/19/2020,5.048999786,5.418250084,4.834750175,5.324250221,765512000,NVDA
3/20/2020,5.474999905,5.757999897,5.128250122,5.143750191,804636000,NVDA
3/23/2020,5.142749786,5.412000179,4.962999821,5.317249775,643876000,NVDA
3/24/2020,5.724999905,6.316500187,5.701250076,6.229499817,1101644000,NVDA
3/25/2020,6.34499979,6.545499802,6.091499805,6.140500069,793432000,NVDA
3/26/2020,6.348499775,6.555500031,6.25,6.431000233,696108000,NVDA
3/27/2020,6.25,6.578000069,6.217000008,6.318250179,638828000,NVDA
3/30/2020,6.383999825,6.649000168,6.339749813,6.639750004,602252000,NVDA
3/31/2020,6.679999828,6.885000229,6.443749905,6.590000153,949960000,NVDA
4/1/2020,6.391250134,6.538249969,6.032000065,6.076749802,656912000,NVDA
4/2/2020,6.105999947,6.400000095,6.057750225,6.386750221,675764000,NVDA
4/3/2020,6.348999977,6.390749931,5.959750175,6.097750187,663212000,NVDA
4/6/2020,6.381000042,6.747000217,6.323249817,6.710000038,727884000,NVDA
4/7/2020,6.932499886,6.956250191,6.432499886,6.475749969,784520000,NVDA
4/8/2020,6.585249901,6.698750019,6.514999866,6.673749924,542444000,NVDA
4/9/2020,6.800000191,6.822999954,6.510499954,6.573750019,525564000,NVDA
4/13/2020,6.513750076,6.755000114,6.425000191,6.746250153,398408000,NVDA
4/14/2020,6.875,7.132999897,6.847249985,7.098750114,530948000,NVDA
4/15/2020,6.929999828,7.104249954,6.884500027,7.020999908,366148000,NVDA
4/16/2020,7.177000046,7.474999905,7.163750172,7.367499828,745620000,NVDA
4/17/2020,7.449999809,7.47149992,7.173500061,7.308000088,539120000,NVDA
4/20/2020,7.181000233,7.337500095,7.131750107,7.176249981,449388000,NVDA
4/21/2020,7.057750225,7.119249821,6.677750111,6.737750053,735160000,NVDA
4/22/2020,6.930749893,7.196750164,6.885000229,7.153749943,483356000,NVDA
4/23/2020,7.196000099,7.328499794,7.074999809,7.100249767,424160000,NVDA
4/24/2020,7.090000153,7.241749763,7.014999866,7.239749908,352328000,NVDA
4/27/2020,7.374750137,7.587500095,7.349999905,7.427000046,479388000,NVDA
4/28/2020,7.574999809,7.605000019,7.27850008,7.28399992,442904000,NVDA
4/29/2020,7.419250011,7.514500141,7.34375,7.461500168,379160000,NVDA
4/30/2020,7.407249928,7.461500168,7.293000221,7.30700016,375916000,NVDA
5/1/2020,7.108749866,7.222499847,7.020999908,7.069499969,342096000,NVDA
5/4/2020,7.021999836,7.296000004,7.021999836,7.282249928,317556000,NVDA
5/5/2020,7.386750221,7.506750107,7.282249928,7.343500137,368896000,NVDA
5/6/2020,7.423250198,7.550000191,7.385250092,7.444749832,323464000,NVDA
5/7/2020,7.584499836,7.685249805,7.532999992,7.621749878,373732000,NVDA
5/8/2020,7.693749905,7.818749905,7.659749985,7.8125,339216000,NVDA
5/11/2020,7.807499886,8.112500191,7.778749943,8.065500259,469060000,NVDA
5/12/2020,8.12349987,8.172499657,7.792749882,7.802499771,493060000,NVDA
5/13/2020,7.917500019,8.078499794,7.594749928,7.78000021,625852000,NVDA
5/14/2020,7.841750145,8.036000252,7.6875,8.030500412,602312000,NVDA
5/15/2020,7.889750004,8.500499725,7.874000072,8.490750313,987660000,NVDA
5/18/2020,8.760499954,8.916500092,8.680500031,8.750249863,774460000,NVDA
5/19/2020,8.790249825,9.087499619,8.762749672,8.805500031,717320000,NVDA
5/20/2020,8.991000175,9.043000221,8.888750076,8.970000267,587536000,NVDA
5/21/2020,9.05150032,9.052499771,8.737500191,8.775250435,761068000,NVDA
5/22/2020,8.825249672,9.093000412,8.71325016,9.026249886,1038764000,NVDA
5/26/2020,9.156749725,9.181750298,8.671999931,8.717749596,770780000,NVDA
5/27/2020,8.625,8.632749557,7.996749878,8.525250435,1175892000,NVDA
5/28/2020,8.412249565,8.760499954,8.379249573,8.487000465,734896000,NVDA
5/29/2020,8.554499626,8.875499725,8.484999657,8.875499725,745256000,NVDA
6/1/2020,8.833250046,8.840749741,8.689499855,8.806249619,389876000,NVDA
6/2/2020,8.796250343,8.837249756,8.657999992,8.825249672,391320000,NVDA
6/3/2020,8.822250366,8.866250038,8.699999809,8.769499779,365440000,NVDA
6/4/2020,8.727999687,8.943249702,8.677499771,8.766500473,424280000,NVDA
6/5/2020,8.794500351,8.996999741,8.708000183,8.920000076,481748000,NVDA
6/8/2020,8.877249718,8.889749527,8.685750008,8.805000305,387736000,NVDA
6/9/2020,8.800000191,9.109749794,8.751250267,9.045999527,468488000,NVDA
6/10/2020,9.167750359,9.5,9.153499603,9.366749763,632180000,NVDA
6/11/2020,9.149999619,9.261249542,8.786000252,8.796250343,583652000,NVDA
6/12/2020,9.162500381,9.187250137,8.703249931,8.932499886,570908000,NVDA
6/15/2020,8.815250397,9.182250023,8.743749619,9.173749924,400004000,NVDA
6/16/2020,9.225000381,9.266750336,8.838749886,9.068499565,535716000,NVDA
6/17/2020,9.113750458,9.298999786,9.070249557,9.236000061,408304000,NVDA
6/18/2020,9.227000237,9.282500267,9.114500046,9.218000412,254408000,NVDA
6/19/2020,9.242500305,9.444999695,9.227250099,9.261249542,524160000,NVDA
6/22/2020,9.300000191,9.53125,9.273249626,9.526749611,398468000,NVDA
6/23/2020,9.550999641,9.642499924,9.407500267,9.449999809,375108000,NVDA
6/24/2020,9.476249695,9.556500435,9.144499779,9.235500336,449372000,NVDA
6/25/2020,9.355750084,9.505000114,9.182250023,9.489999771,376072000,NVDA
6/26/2020,9.5,9.5,9.125,9.154999733,592084000,NVDA
6/29/2020,9.169750214,9.204500198,8.899999619,9.199999809,342248000,NVDA
6/30/2020,9.31400013,9.526249886,9.266500473,9.497750282,367892000,NVDA
7/1/2020,9.520750046,9.575750351,9.413000107,9.529999733,326648000,NVDA
7/2/2020,9.638999939,9.737500191,9.578249931,9.612250328,364056000,NVDA
7/6/2020,9.741749763,9.90874958,9.712499619,9.839249611,315892000,NVDA
7/7/2020,9.946249962,10.06999969,9.850749969,9.871749878,357800000,NVDA
7/8/2020,9.993749619,10.22500038,9.965499878,10.2159996,365480000,NVDA
7/9/2020,10.38024998,10.56999969,10.23349953,10.50899982,494548000,NVDA
7/10/2020,10.58874989,10.6552496,10.37874985,10.47924995,497676000,NVDA
7/13/2020,10.59500027,10.79224968,10.02499962,10.05224991,457076000,NVDA
7/14/2020,10.07499981,10.40275002,9.785499573,10.37699986,542676000,NVDA
7/15/2020,10.41425037,10.43299961,10.05574989,10.2272501,403984000,NVDA
7/16/2020,10.01500034,10.20674992,9.895500183,10.13475037,344964000,NVDA
7/17/2020,10.22550011,10.24849987,10.08775043,10.20149994,266284000,NVDA
7/20/2020,10.27425003,10.53125,10.15674973,10.51074982,284852000,NVDA
7/21/2020,10.51299953,10.56000042,10.28674984,10.32849979,277036000,NVDA
7/22/2020,10.36750031,10.60249996,10.29150009,10.43875027,367292000,NVDA
7/23/2020,10.44999981,10.54699993,10.03125,10.12975025,411660000,NVDA
7/24/2020,9.875,10.36474991,9.777000427,10.19449997,473292000,NVDA
7/27/2020,10.23225021,10.44174957,10.2177496,10.42150021,292132000,NVDA
7/28/2020,10.37425041,10.38199997,10.20925045,10.21549988,271636000,NVDA
7/29/2020,10.39074993,10.51624966,10.34700012,10.46549988,284508000,NVDA
7/30/2020,10.375,10.62300014,10.29524994,10.61400032,308880000,NVDA
7/31/2020,10.56324959,10.76650047,10.43299961,10.61474991,386080000,NVDA
8/3/2020,10.73250008,11.09875011,10.71525002,11.01025009,412720000,NVDA
8/4/2020,11.05000019,11.22774982,10.90600014,11.22774982,310336000,NVDA
8/5/2020,11.24400043,11.37174988,11.16625023,11.28674984,249924000,NVDA
8/6/2020,11.34974957,11.3579998,11.17875004,11.33549976,244316000,NVDA
8/7/2020,11.3125,11.50475025,11.03750038,11.19950008,342516000,NVDA
8/10/2020,11.33425045,11.40824986,10.85649967,11.16499996,427796000,NVDA
8/11/2020,11.07374954,11.13675022,10.79574966,10.85000038,354512000,NVDA
8/12/2020,10.99075031,11.46700001,10.95825005,11.4402504,464412000,NVDA
8/13/2020,11.54599953,11.72175026,11.35575008,11.44299984,374460000,NVDA
8/14/2020,11.52999973,11.70475006,11.44050026,11.56400013,366436000,NVDA
8/17/2020,11.85124969,12.40974998,11.81725025,12.33699989,621300000,NVDA
8/18/2020,12.44999981,12.49600029,12.08625031,12.26074982,503448000,NVDA
8/19/2020,12.29650021,12.31499958,12.09799957,12.13850021,622624000,NVDA
8/20/2020,11.97500038,12.375,11.87874985,12.14099979,921388000,NVDA
8/21/2020,12.2017498,12.80875015,12.19524956,12.68350029,999868000,NVDA
8/24/2020,12.88374996,12.91250038,12.50749969,12.72025013,490564000,NVDA
8/25/2020,12.6307497,12.76124954,12.57374954,12.75,289076000,NVDA
8/26/2020,12.79924965,12.86849976,12.67774963,12.77299976,321244000,NVDA
8/27/2020,12.78149986,12.85000038,12.56649971,12.62825012,317604000,NVDA
8/28/2020,12.67500019,13.14799976,12.64249992,13.1477499,537160000,NVDA
8/31/2020,13.18274975,13.57499981,13.03775024,13.37450027,500840000,NVDA
9/1/2020,13.47999954,13.99374962,13.4364996,13.8210001,511316000,NVDA
9/2/2020,14.70374966,14.72675037,13.89999962,14.3465004,874012000,NVDA
9/3/2020,13.82874966,13.88449955,12.87874985,13.01550007,945128000,NVDA
9/4/2020,12.78374958,13.17500019,11.70475006,12.62250042,1463684000,NVDA
9/8/2020,11.73449993,12.55000019,11.70425034,11.91300011,795728000,NVDA
9/9/2020,12.39999962,12.80924988,12.23174953,12.71500015,736200000,NVDA
9/10/2020,12.98925018,13.0652504,12.16699982,12.31175041,698684000,NVDA
9/11/2020,12.48550034,12.65250015,11.89575005,12.16450024,636928000,NVDA
9/14/2020,13.08100033,13.31499958,12.63125038,12.8722496,1201744000,NVDA
9/15/2020,13.27999973,13.29874992,12.82775021,12.99100018,727556000,NVDA
9/16/2020,12.95724964,13.0927496,12.51375008,12.51449966,556384000,NVDA
9/17/2020,12.13224983,12.58975029,12.03474998,12.46350002,792512000,NVDA
9/18/2020,12.59375,12.63249969,11.98875046,12.18924999,698460000,NVDA
9/21/2020,11.92500019,12.52250004,11.90450001,12.51725006,721044000,NVDA
9/22/2020,12.57499981,12.64799976,12.15550041,12.63774967,646452000,NVDA
9/23/2020,12.57549953,12.72700024,12.07925034,12.12374973,647012000,NVDA
9/24/2020,12.07225037,12.56949997,12.01399994,12.34799957,731240000,NVDA
9/25/2020,12.44750023,12.8835001,12.24575043,12.87374973,588016000,NVDA
9/28/2020,13.04024982,13.05175018,12.75,13.03499985,573808000,NVDA
9/29/2020,12.9375,13.44274998,12.93325043,13.22574997,621460000,NVDA
9/30/2020,13.15750027,13.62250042,13.15025043,13.53050041,689184000,NVDA
10/1/2020,13.75800037,13.76274967,13.46074963,13.61450005,525004000,NVDA
10/2/2020,13.22500038,13.51949978,13.05099964,13.06225014,552496000,NVDA
10/5/2020,13.23600006,13.64424992,13.22274971,13.64249992,479820000,NVDA
10/6/2020,13.82999992,14.1420002,13.66499996,13.73649979,784420000,NVDA
10/7/2020,13.99975014,14.1192503,13.86349964,13.96399975,418084000,NVDA
10/8/2020,14.07499981,14.08450031,13.75800037,13.83874989,378900000,NVDA
10/9/2020,13.7670002,13.82425022,13.66075039,13.76274967,346892000,NVDA
10/12/2020,13.98950005,14.34700012,13.91250038,14.22599983,434744000,NVDA
10/13/2020,14.29650021,14.34850025,14.01875019,14.24825001,344604000,NVDA
10/14/2020,14.29049969,14.3427496,13.96000004,14.09525013,276100000,NVDA
10/15/2020,13.81075001,14.0057497,13.76774979,13.97000027,267224000,NVDA
10/16/2020,14.03674984,14.12150002,13.79249954,13.8114996,242392000,NVDA
10/19/2020,13.90299988,13.98349953,13.40674973,13.49775028,298068000,NVDA
10/20/2020,13.58349991,13.79975033,13.50699997,13.64550018,229212000,NVDA
10/21/2020,13.625,13.79150009,13.47749996,13.52474976,219596000,NVDA
10/22/2020,13.52250004,13.61174965,13.23174953,13.36100006,290480000,NVDA
10/23/2020,13.44999981,13.59325027,13.29125023,13.59025002,233484000,NVDA
10/26/2020,13.42700005,13.69274998,13.03849983,13.14124966,336896000,NVDA
10/27/2020,13.30599976,13.44200039,13.19149971,13.39675045,250520000,NVDA
10/28/2020,13.19799995,13.26000023,12.60900021,12.62699986,376520000,NVDA
